date,time,ipaddress,downspeed,rainfall,temperature,pressure,uvindex
"2023-08-14","16:45","192.168.0.5","28.42 Mbit/s","0.0mm","+35°C","1013 hPa","3"
2023-10-01,21:07,,,,,,
2023-10-01,21:10,192.168.0.118,,,,,
2023-10-01,21:10,192.168.0.118,45.01 Mbit/s,,,,
2023-10-01,21:12,192.168.0.118,,,,,
2023-10-01,21:13,192.168.0.118,,,,,
2023-10-01,21:15,192.168.0.118,,,,,
2023-10-01,21:17,192.168.0.118,,,,,
2023-10-01,21:19,192.168.0.118,,,,,
2023-10-01,21:22,192.168.0.118,, 1,0.0mm +16°C 1022hP,,
2023-10-01,21:23,192.168.0.118,,+16°C,0.0mm,1022hPa,1
2023-10-01,21:24,192.168.0.118,,0.0mm,+16°C,1022hPa,1
2023-10-01,21:25,192.168.0.118,50.50 Mbit/s,0.0mm,+16°C,1022hPa,1
"2023-10-01",21:28,192.168.0.118,,0.0mm,+16°C,1022hPa,1
"2023-10-01","21:29","192.168.0.118","","0.0mm","+16°C","1022hPa","1"
"2023-10-01","21:32","192.168.0.118","","0.0mm","+14°C","1022hPa","1"
"2023-10-01","21:35","192.168.0.118","","0.0mm","+14°C","1022hPa","1"
